Query,Type
"What is the NPK recommendation for hybrid maize in Himachal Pradesh based on the 2021 Kharif advisory?",Good
"How can I control white grubs in maize in Himachal Pradesh?",Good
"What herbicide is recommended for weed control in transplanted rice in Arunachal Pradesh?",Good
"What is the recommended seed treatment for foot rot in Basmati rice in Punjab?",Good
"When should cotton sowing be completed in Punjab?",Good
"How to manage fall armyworm in maize in Punjab?",Good
"What are the recommended paddy varieties for Jammu below 800m elevation?",Good
"What is the NPK recommendation for brinjal according to the Arunachal Pradesh advisory?",Good
"How is bacterial blight managed in cotton in Rajasthan?",Good
"What sugarcane varieties are mentioned in the Andhra Pradesh advisory?",Good
"What is the seed treatment recommended for paddy in Bihar?",Good
"What are the recommended Ginger varieties for Odisha?",Good
"What is the weather forecast for Bengaluru next week?",Bad
"How do I grow coffee beans in Himachal Pradesh?",Bad
"What was the maize yield in Punjab in 2020?",Bad
"Tell me about livestock management in Canada.",Bad
"How to apply for agricultural subsidies in Rajasthan?",Bad
"Compare the maize sowing recommendations (timing and spacing) for Punjab and Himachal Pradesh.",Hard
"What are the common pest control chemicals mentioned for cotton across Punjab and Rajasthan?",Hard
"What are the fertilizer recommendations (NPK) for both hybrid maize and transplanted rice in Arunachal Pradesh?",Hard
"List the sowing times and seed rates for cotton, maize, and paddy mentioned in the Punjab advisories.",Hard
"What biocontrol agents or organic methods are suggested for pest management across different crops in the provided advisories?",Hard
